date,site,province,district,predicted_total_visitors,statistical_capacity,vli_score
2026-01-01,Adam's Peak (Sri Pada),Central,Nuwara Eliya,13,341,3.81
2026-01-01,Dambulla Cave Temple,Central,Matale,7,586,1.19
2026-01-01,Galle Fort,Southern,Galle,13,897,1.45
2026-01-01,Horton Plains (World's End),Central,Nuwara Eliya,7,270,2.59
2026-01-01,Jaffna Fort,Northern,Jaffna,7,867,0.81
2026-01-01,Kaudulla National Park,North_Central,Polonnaruwa,4,622,0.64
2026-01-01,Knuckles Conservation Forest,Central,Matale,7,846,0.83
2026-01-01,Mirissa (Whale Watching),Southern,Matara,12,208,5.77
2026-01-01,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,7,434,1.61
2026-01-01,Sigiriya Rock & Museum,Central,Matale,7,2161,0.32
2026-01-01,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,6,192,3.12
2026-01-01,Temple of the Tooth (Kandy),Central,Kandy,6,1398,0.43
2026-01-01,Udawalawe National Park,Uva,Monaragala,6,854,0.7
2026-01-01,Wilpattu National Park,North_Western,Puttalam,6,750,0.8
2026-01-01,Yala National Park,Southern,Hambantota,3140,2133,147.21
2026-01-02,Adam's Peak (Sri Pada),Central,Nuwara Eliya,13,341,3.81
2026-01-02,Dambulla Cave Temple,Central,Matale,7,586,1.19
2026-01-02,Galle Fort,Southern,Galle,12,897,1.34
2026-01-02,Horton Plains (World's End),Central,Nuwara Eliya,7,270,2.59
2026-01-02,Jaffna Fort,Northern,Jaffna,7,867,0.81
2026-01-02,Kaudulla National Park,North_Central,Polonnaruwa,4,622,0.64
2026-01-02,Knuckles Conservation Forest,Central,Matale,7,846,0.83
2026-01-02,Mirissa (Whale Watching),Southern,Matara,12,208,5.77
2026-01-02,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,7,434,1.61
2026-01-02,Sigiriya Rock & Museum,Central,Matale,6,2161,0.28
2026-01-02,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,6,192,3.12
2026-01-02,Temple of the Tooth (Kandy),Central,Kandy,6,1398,0.43
2026-01-02,Udawalawe National Park,Uva,Monaragala,6,854,0.7
2026-01-02,Wilpattu National Park,North_Western,Puttalam,6,750,0.8
2026-01-02,Yala National Park,Southern,Hambantota,3204,2133,150.21
2026-01-03,Adam's Peak (Sri Pada),Central,Nuwara Eliya,135,341,39.59
2026-01-03,Dambulla Cave Temple,Central,Matale,75,586,12.8
2026-01-03,Galle Fort,Southern,Galle,135,897,15.05
2026-01-03,Horton Plains (World's End),Central,Nuwara Eliya,75,270,27.78
2026-01-03,Jaffna Fort,Northern,Jaffna,75,867,8.65
2026-01-03,Kaudulla National Park,North_Central,Polonnaruwa,45,622,7.23
2026-01-03,Knuckles Conservation Forest,Central,Matale,75,846,8.87
2026-01-03,Mirissa (Whale Watching),Southern,Matara,135,208,64.9
2026-01-03,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,75,434,17.28
2026-01-03,Sigiriya Rock & Museum,Central,Matale,75,2161,3.47
2026-01-03,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,75,192,39.06
2026-01-03,Temple of the Tooth (Kandy),Central,Kandy,75,1398,5.36
2026-01-03,Udawalawe National Park,Uva,Monaragala,75,854,8.78
2026-01-03,Wilpattu National Park,North_Western,Puttalam,74,750,9.87
2026-01-03,Yala National Park,Southern,Hambantota,3349,2133,157.01
2026-01-04,Adam's Peak (Sri Pada),Central,Nuwara Eliya,133,341,39.0
2026-01-04,Dambulla Cave Temple,Central,Matale,75,586,12.8
2026-01-04,Galle Fort,Southern,Galle,133,897,14.83
2026-01-04,Horton Plains (World's End),Central,Nuwara Eliya,74,270,27.41
2026-01-04,Jaffna Fort,Northern,Jaffna,74,867,8.54
2026-01-04,Kaudulla National Park,North_Central,Polonnaruwa,45,622,7.23
2026-01-04,Knuckles Conservation Forest,Central,Matale,74,846,8.75
2026-01-04,Mirissa (Whale Watching),Southern,Matara,133,208,63.94
2026-01-04,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,74,434,17.05
2026-01-04,Sigiriya Rock & Museum,Central,Matale,74,2161,3.42
2026-01-04,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,74,192,38.54
2026-01-04,Temple of the Tooth (Kandy),Central,Kandy,74,1398,5.29
